P_USER,P_CUR_ORG,TU_DON_VI,DEN_DON_VI,FROM_DATE,TO_DATE,TEN_TAP_DOAN,VNM_LOGO,SOURCE,DOCUMENT_NUMBER,CURRENCY,STATUS,JOURNAL,PREIOD,CREATION_DATE,USER_NAME,REFERENCE,LINE,SEGMENT1,SEGMENT3,SEGMENT6,SEGMENT7,SEGMENT9,SEGMENT10,ENTERED_DR,ENTERED_CR,DOC_NUM,ACTUAL_FLAG,BATCH_NAME,INV_VOUCHER_NO,EFFECTIVE_DATE,SEGMENT2,SEGMENT4,SEGMENT5,SEGMENT8,ACCOUNTED_DR,ACCOUNTED_CR,JL_DESCRIPTION,EXTRA_COL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627100,MA11,06XXXX,180316465.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627100,MA21,01XXXX,329100429.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627100,MA21,08XXXX,329100429.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627100,MA51,02XXXX,97224981.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627100,MA51,07XXXX,97224981.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627400,MD01,02XXXX,86512148.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627400,MD01,06XXXX,86512148.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627400,MD02,03XXXX,260551494.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627400,MD02,07PROU,260551494.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627700,MH01,08XXXX,79727889.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627700,MH02,01XXXX,282852382.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627700,MH02,03XXXX,282852382.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627200,MB03,03XXXX,338231831.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627200,MB03,08XXXX,338231831.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627200,MB05,02XXXX,286839092.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627200,MB05,03XXXX,286839092.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627200,MB06,02XXXX,88961572.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627700,MH14,03XXXX,267340655.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627700,MH40,02XXXX,169761732.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627700,MH43,05XXXX,381180340.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627700,MH13,06XXXX,49577309.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627700,MH11,01XXXX,240799099.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627300,MC02,05XXXX,312128565.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627300,MC02,08XXXX,312128565.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627300,MC05,06XXXX,320279796.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627700,MH33,06XXXX,215755848.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627800,MN01,07XXXX,389295534.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627800,MN01,08XXXX,389295534.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627800,MP04,07XXXX,240669836.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,240,627800,MP04,06XXXX,240669836.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627100,MA11,07XXXX,221776719.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627100,MA11,02XXXX,221776719.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627100,MA21,05XXXX,167565819.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627100,MA21,02XXXX,167565819.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627100,MA51,01XXXX,287329828.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627100,MA51,07PROU,287329828.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627400,MD01,06XXXX,339249837.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627400,MD02,03XXXX,367040357.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627700,MH01,08XXXX,398058879.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627700,MH02,05XXXX,338882019.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627700,MH02,06XXXX,338882019.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627200,MB03,07PROU,216025386.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627200,MB03,07XXXX,216025386.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627200,MB05,03XXXX,198842826.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627200,MB06,06XXXX,292823623.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,251,627700,MH14,07XXXX,127999857.0,0,Journal Import Created,
