P_USER,P_CUR_ORG,TU_DON_VI,DEN_DON_VI,FROM_DATE,TO_DATE,TEN_TAP_DOAN,VNM_LOGO,CATEGORY,SOURCE,DOCUMENT_NUMBER,CURRENCY,STATUS,JOURNAL,PREIOD,CREATION_DATE,USER_NAME,REFERENCE,LINE,SEGMENT1,SEGMENT2,SEGMENT3,SEGMENT4,SEGMENT5,SEGMENT6,SEGMENT7,SEGMENT8,SEGMENT9,SEGMENT10,ENTERED_DR,ENTERED_CR,JL_DESCRIPTION,DOC_NUM,ACTUAL_FLAG,BATCH_NAME,INV_VOUCHER_NO,EFFECTIVE_DATE,ACCOUNTED_DR,ACCOUNTED_CR,EXTRA_COL
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,31/01/2025,198937297.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,31/01/2025,158639371.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,31/01/2025,77127315.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,31/01/2025,187966383.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,31/01/2025,206227456.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,31/01/2025,112563989.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,31/01/2025,177397246.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,31/01/2025,163901193.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,31/01/2025,178916268.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,31/01/2025,75023108.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,31/01/2025,108344038.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,28/02/2025,104709472.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,28/02/2025,69508849.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,28/02/2025,14282904.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,28/02/2025,167285228.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,28/02/2025,36087789.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,28/02/2025,150122414.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,28/02/2025,118002250.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,28/02/2025,21006255.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,28/02/2025,123236432.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,28/02/2025,177533053.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,28/02/2025,107473485.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,31/03/2025,157511240.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,31/03/2025,85671957.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,31/03/2025,17716765.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,31/03/2025,187700611.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,31/03/2025,83060596.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,31/03/2025,38584040.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,31/03/2025,127800726.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,31/03/2025,132820738.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,31/03/2025,215340495.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,31/03/2025,125152235.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,31/03/2025,87080317.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,30/04/2025,87822167.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,30/04/2025,11831395.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,30/04/2025,16966331.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,30/04/2025,192233052.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,30/04/2025,92417670.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,30/04/2025,107713258.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,30/04/2025,44159703.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,30/04/2025,93129706.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,30/04/2025,118485735.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,30/04/2025,88453526.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,30/04/2025,122733500.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,31/05/2025,127559550.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,31/05/2025,25628599.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,31/05/2025,16195300.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,31/05/2025,202560819.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,31/05/2025,91720126.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,31/05/2025,103316250.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,31/05/2025,191545716.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,31/05/2025,226853082.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,31/05/2025,43157552.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,31/05/2025,26181734.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,31/05/2025,30952272.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,30/06/2025,23360629.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,30/06/2025,153444801.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,30/06/2025,161665611.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,30/06/2025,36084963.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,30/06/2025,151372023.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,30/06/2025,171453979.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,30/06/2025,60305086.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,30/06/2025,174998506.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,30/06/2025,202650346.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,30/06/2025,91742722.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,30/06/2025,88633389.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,31/07/2025,177881672.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,31/07/2025,172539652.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,31/07/2025,34825795.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,31/07/2025,122198052.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,31/07/2025,83172029.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,31/07/2025,75210462.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,31/07/2025,167689263.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,31/07/2025,84221865.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,31/07/2025,204555618.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,31/07/2025,134439571.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,31/07/2025,65449134.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,31/08/2025,155620545.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,31/08/2025,183053267.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,31/08/2025,28647584.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,31/08/2025,22309610.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,31/08/2025,110051919.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,31/08/2025,71258847.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,31/08/2025,42088621.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,31/08/2025,117819439.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,31/08/2025,28923997.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,31/08/2025,27431736.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,31/08/2025,132380773.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,30/09/2025,31428969.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,30/09/2025,81861917.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,30/09/2025,195819225.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,30/09/2025,222957748.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,30/09/2025,74872610.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,30/09/2025,168441296.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,30/09/2025,106729518.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,30/09/2025,32611586.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,30/09/2025,12645038.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,30/09/2025,19247291.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,30/09/2025,35466036.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,31/10/2025,163321046.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,31/10/2025,194853560.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,31/10/2025,74963645.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,31/10/2025,62765463.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,31/10/2025,14746747.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,31/10/2025,21352873.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,31/10/2025,132898474.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,31/10/2025,25629915.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,31/10/2025,205288584.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,31/10/2025,144055394.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,31/10/2025,105052876.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,30/11/2025,142363335.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,30/11/2025,18280814.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,30/11/2025,223535456.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,30/11/2025,105058083.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,30/11/2025,59677545.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,30/11/2025,98476071.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,30/11/2025,110858761.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,30/11/2025,234777937.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,30/11/2025,151405251.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,30/11/2025,79052338.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,30/11/2025,132214763.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,31/12/2025,210830371.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,31/12/2025,213527243.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,31/12/2025,129617262.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,31/12/2025,218167511.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,31/12/2025,16747370.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,31/12/2025,93579865.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,31/12/2025,185704068.0,0,
