START_DATE,END_DATE,LEDGER,COST_ORGANIZATION,ITEM_NUMBER,ITEM_DESCRIPTION,CALENDAR_CODE,PERIOD_CODE,COST_MTHD_CODE,SOURCE_DESC,ORGANIZATION_CODE,REFERENCE,COST_CMPNTCLS_CODE,COST_ANALYSIS_CODE,COST_AMT,TRANS_QTY,AMOUNT,CURRENCY_CODE,PRIMARY_UOM_CODE,SUPPLIER_ORG,TRANS_DATE,PO_NUMBER,RATE,INVOICE_NUM,VENDOR_NAME,VENDOR_SITE_CODE,CUR_ORG,ITEM_TYPE
,,,,01-019,Product 01XXXX,,,,Batch Material Cost,TND,,MAT,,578957.853,4526,616724251.49,VND,,,31/01/2024,,,,,,,FG
,,,,01-003,Product 01XXXX,,,,Unit Cost Adjustments,TND,,MAT,,359352.5102,1785,374759242.52,VND,,,31/01/2024,,,,,,,FG
,,,,02-001,Product 02XXXX,,,,Batch Material Cost,TND,,MAT,,257766.5633,4655,641003488.86,VND,,,31/01/2024,,,,,,,FG
,,,,02-027,Product 02XXXX,,,,Batch Resource Cost,TND,,MAT,,516568.399,1182,433507363.17,VND,,,31/01/2024,,,,,,,FG
,,,,03-012,Product 03XXXX,,,,Batch Material Cost,TND,,MAT,,106412.1785,1367,196996206.82,VND,,,31/01/2024,,,,,,,FG
,,,,03-021,Product 03XXXX,,,,Value Adjustments,TND,,MAT,,233002.2129,2988,427052571.62,VND,,,31/01/2024,,,,,,,FG
,,,,04-021,Product 04XXXX,,,,Batch Material Cost,TND,,MAT,,641847.5904,1463,845854615.64,VND,,,31/01/2024,,,,,,,FG
,,,,04-008,Product 04XXXX,,,,Unit Cost Adjustments,TND,,MAT,,132529.842,4114,243456566.68,VND,,,31/01/2024,,,,,,,FG
,,,,05-004,Product 05XXXX,,,,Batch Material Cost,TND,,MAT,,522477.4442,1600,602678163.91,VND,,,31/01/2024,,,,,,,FG
,,,,05-004,Product 05XXXX,,,,Batch Resource Cost,TND,,MAT,,350974.3319,3442,841337488.3,VND,,,31/01/2024,,,,,,,FG
,,,,06-021,Product 06XXXX,,,,Batch Material Cost,TND,,MAT,,225307.7441,4987,284179160.23,VND,,,31/01/2024,,,,,,,FG
,,,,06-009,Product 06XXXX,,,,Batch Resource Cost,TND,,MAT,,172238.2473,2162,296694735.62,VND,,,31/01/2024,,,,,,,FG
,,,,07-019,Product 07PROU,,,,Batch Material Cost,TND,,MAT,,394102.6328,491,324715228.06,VND,,,31/01/2024,,,,,,,FG
,,,,07-007,Product 07PROU,,,,Batch Resource Cost,TND,,MAT,,696983.237,3199,645319987.35,VND,,,31/01/2024,,,,,,,FG
,,,,07-024,Product 07XXXX,,,,Batch Resource Cost,TND,,MAT,,195031.8185,904,259132915.93,VND,,,31/01/2024,,,,,,,FG
,,,,07-001,Product 07XXXX,,,,Batch Material Cost,TND,,MAT,,269401.7024,2790,621849621.54,VND,,,31/01/2024,,,,,,,FG
,,,,08-015,Product 08XXXX,,,,Batch Resource Cost,TND,,MAT,,371336.6368,1584,627056055.81,VND,,,31/01/2024,,,,,,,FG
,,,,08-029,Product 08XXXX,,,,Batch Material Cost,TND,,MAT,,140031.2126,4291,225188306.97,VND,,,31/01/2024,,,,,,,FG
,,,,01-007,Product 01XXXX,,,,Batch Material Cost,TTD,,MAT,,172444.8501,1822,414359292.54,VND,,,31/01/2024,,,,,,,FG
,,,,01-025,Product 01XXXX,,,,Batch Resource Cost,TTD,,MAT,,341824.606,3160,636272964.83,VND,,,31/01/2024,,,,,,,FG
,,,,02-028,Product 02XXXX,,,,Batch Resource Cost,TTD,,MAT,,335033.6687,3402,727910318.71,VND,,,31/01/2024,,,,,,,FG
,,,,02-025,Product 02XXXX,,,,Batch Material Cost,TTD,,MAT,,357803.1597,2775,680209999.54,VND,,,31/01/2024,,,,,,,FG
,,,,03-010,Product 03XXXX,,,,Batch Material Cost,TTD,,MAT,,226851.0298,4879,448516529.95,VND,,,31/01/2024,,,,,,,FG
,,,,03-024,Product 03XXXX,,,,Batch Resource Cost,TTD,,MAT,,179109.5361,3404,209898317.24,VND,,,31/01/2024,,,,,,,FG
,,,,04-005,Product 04XXXX,,,,Batch Material Cost,TTD,,MAT,,123830.4739,3796,249005747.07,VND,,,31/01/2024,,,,,,,FG
,,,,04-028,Product 04XXXX,,,,Batch Resource Cost,TTD,,MAT,,301779.3941,954,742451373.61,VND,,,31/01/2024,,,,,,,FG
,,,,05-006,Product 05XXXX,,,,Batch Material Cost,TTD,,MAT,,125732.4791,3610,205204168.52,VND,,,31/01/2024,,,,,,,FG
