PR_RESPON,PR_DONVI,P_ORGANIZATION_CODE,PR_FROMDATE,PR_TODATE,PR_TYPE,P_USER,COMPANY_NAME,TEN_DV,P_FROMDATE,P_TODATE,MAY,TEN_MAY,KHO,ITEM_NO,ITEM_NAME,LOT_NUMBER,UOM,DON_GIA,QTY,AMOUNT,REASON,COMMENTS,TRX_DATE,KHUVUC,SO_CTG
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,42960216.93,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,14587698.53,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,120548828.83,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,94162306.02,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,165358216.34,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,140210622.55,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,149210162.52,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,36995193.97,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,126801229.08,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,73682838.25,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,69546891.8,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,95315979.2,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,44360322.57,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,148636116.49,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,123415852.11,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,93565677.59,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
