PERIOD,CodeNM,ITEM,NHÓM,Sản Lượng 25
2025-01-31,FAC-A,01-001,01XXXX,239064.0
2025-01-31,FAC-A,01-002,01XXXX,441282.0
2025-01-31,FAC-A,01-003,01XXXX,93335.0
2025-01-31,FAC-A,01-006,01XXXX,465822.0
2025-01-31,FAC-A,01-008,01XXXX,382508.0
2025-01-31,FAC-A,01-010,01XXXX,344109.0
2025-01-31,FAC-A,01-011,01XXXX,307148.0
2025-01-31,FAC-A,01-012,01XXXX,330214.0
2025-01-31,FAC-A,01-013,01XXXX,397525.0
2025-01-31,FAC-A,01-014,01XXXX,199369.0
2025-01-31,FAC-A,01-017,01XXXX,61437.0
2025-01-31,FAC-A,01-019,01XXXX,500776.0
2025-01-31,FAC-A,01-021,01XXXX,59536.0
2025-01-31,FAC-A,01-022,01XXXX,473562.0
2025-01-31,FAC-A,01-023,01XXXX,117776.0
2025-01-31,FAC-A,01-025,01XXXX,84613.0
2025-01-31,FAC-A,01-026,01XXXX,74779.0
2025-01-31,FAC-A,01-028,01XXXX,439816.0
2025-01-31,FAC-A,01-029,01XXXX,14982.0
2025-01-31,FAC-A,02-001,02XXXX,184520.0
2025-01-31,FAC-A,02-002,02XXXX,368656.0
2025-01-31,FAC-A,02-003,02XXXX,47539.0
2025-01-31,FAC-A,02-004,02XXXX,21219.0
2025-01-31,FAC-A,02-005,02XXXX,264783.0
2025-01-31,FAC-A,02-008,02XXXX,361029.0
2025-01-31,FAC-A,02-011,02XXXX,215308.0
2025-01-31,FAC-A,02-015,02XXXX,365518.0
2025-01-31,FAC-A,02-016,02XXXX,338879.0
2025-01-31,FAC-A,02-017,02XXXX,136831.0
2025-01-31,FAC-A,02-018,02XXXX,100449.0
2025-01-31,FAC-A,02-019,02XXXX,195775.0
2025-01-31,FAC-A,02-020,02XXXX,261735.0
2025-01-31,FAC-A,02-021,02XXXX,281623.0
2025-01-31,FAC-A,02-022,02XXXX,265260.0
2025-01-31,FAC-A,02-023,02XXXX,197094.0
2025-01-31,FAC-A,02-024,02XXXX,177274.0
2025-01-31,FAC-A,02-025,02XXXX,384188.0
2025-01-31,FAC-A,03-001,03XXXX,225445.0
2025-01-31,FAC-A,03-003,03XXXX,120068.0
2025-01-31,FAC-A,03-004,03XXXX,222104.0
2025-01-31,FAC-A,03-005,03XXXX,287899.0
2025-01-31,FAC-A,03-006,03XXXX,443741.0
2025-01-31,FAC-A,03-007,03XXXX,163951.0
2025-01-31,FAC-A,03-009,03XXXX,216257.0
2025-01-31,FAC-A,03-010,03XXXX,248708.0
2025-01-31,FAC-A,03-011,03XXXX,38592.0
2025-01-31,FAC-A,03-012,03XXXX,387014.0
2025-01-31,FAC-A,04-001,04XXXX,460122.0
2025-01-31,FAC-A,04-002,04XXXX,130436.0
2025-01-31,FAC-A,04-004,04XXXX,253646.0
2025-01-31,FAC-A,04-005,04XXXX,148827.0
2025-01-31,FAC-A,04-007,04XXXX,201637.0
2025-01-31,FAC-A,04-008,04XXXX,51762.0
2025-01-31,FAC-A,04-009,04XXXX,373367.0
2025-01-31,FAC-A,04-010,04XXXX,337143.0
2025-01-31,FAC-A,04-011,04XXXX,398515.0
2025-01-31,FAC-A,04-012,04XXXX,269583.0
2025-01-31,FAC-A,04-013,04XXXX,28491.0
2025-01-31,FAC-A,04-016,04XXXX,264697.0
2025-01-31,FAC-A,04-017,04XXXX,95641.0
2025-01-31,FAC-A,04-018,04XXXX,175272.0
2025-01-31,FAC-A,04-021,04XXXX,246649.0
2025-01-31,FAC-A,04-022,04XXXX,427935.0
2025-01-31,FAC-A,04-023,04XXXX,348948.0
2025-01-31,FAC-A,04-024,04XXXX,497698.0
2025-01-31,FAC-A,04-025,04XXXX,226330.0
2025-01-31,FAC-A,04-027,04XXXX,427023.0
2025-01-31,FAC-A,04-029,04XXXX,323020.0
2025-01-31,FAC-A,04-031,04XXXX,195020.0
2025-01-31,FAC-A,04-033,04XXXX,49940.0
2025-01-31,FAC-A,04-034,04XXXX,345063.0
2025-01-31,FAC-A,04-036,04XXXX,142468.0
2025-01-31,FAC-A,04-037,04XXXX,510669.0
2025-01-31,FAC-A,04-038,04XXXX,315782.0
2025-01-31,FAC-A,04-039,04XXXX,542291.0
2025-01-31,FAC-A,04-040,04XXXX,450915.0
2025-01-31,FAC-A,04-041,04XXXX,123030.0
2025-01-31,FAC-A,04-043,04XXXX,122605.0
2025-01-31,FAC-A,04-044,04XXXX,107274.0
2025-01-31,FAC-A,05-001,05XXXX,379308.0
2025-01-31,FAC-A,05-002,05XXXX,32919.0
2025-01-31,FAC-A,05-003,05XXXX,104894.0
2025-01-31,FAC-A,05-004,05XXXX,532847.0
2025-01-31,FAC-A,05-005,05XXXX,212428.0
2025-01-31,FAC-A,05-006,05XXXX,496946.0
2025-01-31,FAC-A,05-008,05XXXX,199339.0
2025-01-31,FAC-A,05-009,05XXXX,302269.0
2025-01-31,FAC-A,05-010,05XXXX,261782.0
2025-01-31,FAC-A,05-011,05XXXX,426945.0
2025-01-31,FAC-A,05-012,05XXXX,52040.0
2025-01-31,FAC-A,05-013,05XXXX,341289.0
2025-01-31,FAC-A,05-014,05XXXX,319476.0
2025-01-31,FAC-A,05-016,05XXXX,110966.0
2025-01-31,FAC-A,05-017,05XXXX,63303.0
2025-01-31,FAC-A,05-018,05XXXX,289665.0
2025-01-31,FAC-A,05-019,05XXXX,314166.0
2025-01-31,FAC-A,05-020,05XXXX,436590.0
2025-01-31,FAC-A,06-001,06XXXX,286455.0
2025-01-31,FAC-A,06-002,06XXXX,231156.0
2025-01-31,FAC-A,06-003,06XXXX,75178.0
2025-01-31,FAC-A,06-004,06XXXX,115561.0
2025-01-31,FAC-A,06-005,06XXXX,264717.0
2025-01-31,FAC-A,06-007,06XXXX,351328.0
2025-01-31,FAC-A,06-009,06XXXX,319571.0
2025-01-31,FAC-A,06-012,06XXXX,226662.0
2025-01-31,FAC-A,06-013,06XXXX,197131.0
2025-01-31,FAC-A,06-014,06XXXX,435349.0
2025-01-31,FAC-A,06-015,06XXXX,403583.0
2025-01-31,FAC-A,06-016,06XXXX,328539.0
2025-01-31,FAC-A,06-017,06XXXX,231152.0
2025-01-31,FAC-A,06-018,06XXXX,222646.0
2025-01-31,FAC-A,07-001,07PROU,498759.0
2025-01-31,FAC-A,07-002,07PROU,104582.0
2025-01-31,FAC-A,07-003,07PROU,279275.0
2025-01-31,FAC-A,07-004,07PROU,61232.0
2025-01-31,FAC-A,07-006,07PROU,11658.0
2025-01-31,FAC-A,07-007,07PROU,282068.0
