P_RESP_ID,P_ORGANIZATION_CODE,P_PERIOD,P_CATEGORY_SET_NAME,P_ITEM_TYPE,P_BATCH_STATUS,P_ITEM_FROM,P_ITEM_TO,PERIOD,OPERATING_UNIT,ORGANIZATION_NAME,ITEM_TYPE,CATEGORY,CAT,ITEM,ITEM_DESCRIPTION,UOM,QTY,QTY_KG,ACC_QTY,ACC_QTY_KG,SUM_QTY_PER_CAT,SUM_QTY_KG_PER_CAT,SUM_ACC_QTY_PER_CAT,SUM_ACC_QTY_KG_PER_CAT,SUM_QTY_KG_PER_ORG,SUM_ACC_QTY_KG_PER_ORG,XDO_USER_NAME
,,2023-01-31,,,,,,2023-01-31,FAC-A-Unit-240,Factory A NM,FG,,,03-015,Product 03-015,KG,37130.0,18564.82,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-A-Unit-240,Factory A NM,FG,,,04-003,Product 04-003,KG,13355.0,6677.58,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-A-Unit-240,Factory A NM,FG,,,01-005,Product 01-005,KG,86584.0,43292.07,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-A-Unit-240,Factory A NM,FG,,,04-011,Product 04-011,KG,63083.0,31541.61,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-A-Unit-240,Factory A NM,FG,,,02-012,Product 02-012,KG,34428.0,17214.0,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-B-Unit-251,Factory B NM,FG,,,02-003,Product 02-003,KG,81331.0,40665.55,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-B-Unit-251,Factory B NM,FG,,,07-006,Product 07-006,KG,36169.0,18084.63,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-B-Unit-251,Factory B NM,FG,,,02-005,Product 02-005,KG,11425.0,5712.65,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-B-Unit-251,Factory B NM,FG,,,01-010,Product 01-010,KG,94171.0,47085.64,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-B-Unit-251,Factory B NM,FG,,,01-007,Product 01-007,KG,40962.0,20481.03,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-C-Unit-244,Factory C NM,FG,,,04-007,Product 04-007,KG,85170.0,42584.82,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-C-Unit-244,Factory C NM,FG,,,04-011,Product 04-011,KG,15389.0,7694.45,,,,,,,,,
