YEAR_MONTH,YEAR,MONTH,MONTH_NAME,CPI_YOY_PCT,INTEREST_RATE_PCT,GDP_GROWTH_PCT
2019-01,2019,1,Jan,2.56,6.25,6.82
2019-02,2019,2,Feb,2.64,6.25,6.82
2019-03,2019,3,Mar,2.68,6.25,6.82
2019-04,2019,4,Apr,2.93,6.25,6.71
2019-05,2019,5,May,2.86,6.25,6.71
2019-06,2019,6,Jun,2.64,6.25,6.71
2019-07,2019,7,Jul,2.61,6.25,7.31
2019-08,2019,8,Aug,2.32,6.25,7.31
2019-09,2019,9,Sep,2.5,6.0,7.31
2019-10,2019,10,Oct,2.18,6.0,6.97
2019-11,2019,11,Nov,3.52,6.0,6.97
2019-12,2019,12,Dec,5.23,6.0,6.97
2020-01,2020,1,Jan,6.43,6.0,3.68
2020-02,2020,2,Feb,5.91,6.0,3.68
2020-03,2020,3,Mar,4.86,5.0,3.68
2020-04,2020,4,Apr,2.93,5.0,0.39
2020-05,2020,5,May,2.4,4.5,0.39
2020-06,2020,6,Jun,3.17,4.5,0.39
2020-07,2020,7,Jul,3.39,4.5,2.69
2020-08,2020,8,Aug,3.18,4.5,2.69
2020-09,2020,9,Sep,3.18,4.5,2.69
2020-10,2020,10,Oct,1.99,4.0,4.48
2020-11,2020,11,Nov,1.48,4.0,4.48
2020-12,2020,12,Dec,0.19,4.0,4.48
2021-01,2021,1,Jan,0.06,4.0,4.72
2021-02,2021,2,Feb,1.52,4.0,4.72
2021-03,2021,3,Mar,1.31,4.0,4.72
2021-04,2021,4,Apr,2.7,4.0,6.61
2021-05,2021,5,May,2.9,4.0,6.61
2021-06,2021,6,Jun,2.41,4.0,6.61
2021-07,2021,7,Jul,2.62,4.0,-6.17
2021-08,2021,8,Aug,2.82,4.0,-6.17
2021-09,2021,9,Sep,1.88,4.0,-6.17
2021-10,2021,10,Oct,1.67,4.0,5.22
2021-11,2021,11,Nov,1.84,4.0,5.22
2021-12,2021,12,Dec,1.81,4.0,5.22
2022-01,2022,1,Jan,1.94,4.0,5.05
2022-02,2022,2,Feb,1.42,4.0,5.05
2022-03,2022,3,Mar,2.41,4.0,5.05
2022-04,2022,4,Apr,2.64,4.0,7.83
2022-05,2022,5,May,2.86,4.0,7.83
2022-06,2022,6,Jun,3.18,4.0,7.83
2022-07,2022,7,Jul,3.14,4.0,13.71
2022-08,2022,8,Aug,2.89,4.0,13.71
2022-09,2022,9,Sep,3.94,5.0,13.71
2022-10,2022,10,Oct,4.32,6.0,5.92
2022-11,2022,11,Nov,4.37,6.0,5.92
2022-12,2022,12,Dec,4.55,6.0,5.92
2023-01,2023,1,Jan,4.89,6.0,3.28
2023-02,2023,2,Feb,4.31,6.0,3.28
2023-03,2023,3,Mar,3.35,5.5,3.28
2023-04,2023,4,Apr,2.81,5.5,4.05
2023-05,2023,5,May,2.43,4.5,4.05
2023-06,2023,6,Jun,2.0,4.5,4.05
2023-07,2023,7,Jul,2.06,4.5,5.33
2023-08,2023,8,Aug,2.96,4.5,5.33
2023-09,2023,9,Sep,3.66,4.5,5.33
2023-10,2023,10,Oct,3.59,4.5,6.72
2023-11,2023,11,Nov,3.45,4.5,6.72
2023-12,2023,12,Dec,3.58,4.5,6.72
2024-01,2024,1,Jan,3.37,4.5,5.66
2024-02,2024,2,Feb,3.98,4.5,5.66
2024-03,2024,3,Mar,3.97,4.5,5.66
2024-04,2024,4,Apr,4.4,4.5,6.93
2024-05,2024,5,May,4.44,4.5,6.93
2024-06,2024,6,Jun,4.34,4.5,6.93
2024-07,2024,7,Jul,4.36,4.5,7.4
2024-08,2024,8,Aug,3.45,4.5,7.4
2024-09,2024,9,Sep,2.63,4.5,7.4
2024-10,2024,10,Oct,2.89,4.5,7.55
2024-11,2024,11,Nov,2.77,4.5,7.55
2024-12,2024,12,Dec,3.48,4.5,7.55
2025-01,2025,1,Jan,2.53,4.5,6.93
2025-02,2025,2,Feb,3.35,4.5,6.93
2025-03,2025,3,Mar,3.13,4.5,6.93
2025-04,2025,4,Apr,3.2,4.5,7.26
2025-05,2025,5,May,3.18,4.5,7.26
2025-06,2025,6,Jun,3.15,4.5,7.26
2025-07,2025,7,Jul,3.1,4.5,7.9
2025-08,2025,8,Aug,3.05,4.5,7.9
2025-09,2025,9,Sep,3.0,4.5,7.9
2025-10,2025,10,Oct,3.25,4.5,8.5
2025-11,2025,11,Nov,3.28,4.5,8.5
2025-12,2025,12,Dec,3.31,4.5,8.5
