YEAR_MONTH,NHÓM,TOTAL_SALE,CPI_YOY_PCT,INTEREST_RATE_PCT,GDP_GROWTH_PCT
2020-01,01XXXX,26214942.0,6.43,6.0,3.68
2020-01,02XXXX,27515178.0,6.43,6.0,3.68
2020-01,03XXXX,684958.0,6.43,6.0,3.68
2020-01,04XXXX,208028420.0,6.43,6.0,3.68
2020-01,05XXXX,5736220.0,6.43,6.0,3.68
2020-01,06XXXX,25293338.0,6.43,6.0,3.68
2020-01,07PROU,37229696.0,6.43,6.0,3.68
2020-01,07XXXX,75255545.0,6.43,6.0,3.68
2020-01,08XXXX,1763315.0,6.43,6.0,3.68
2020-01,09XXXX,3174852.0,6.43,6.0,3.68
2020-01,10XXXX,156850.0,6.43,6.0,3.68
2020-01,12XXXX,1574840.0,6.43,6.0,3.68
2020-01,14XXXX,1944774.0,6.43,6.0,3.68
2020-01,15BN03,1040878.0,6.43,6.0,3.68
2020-01,15XXXX,2843.0,6.43,6.0,3.68
2020-01,16XXXX,112113.0,6.43,6.0,3.68
2020-02,01XXXX,27556429.0,5.91,6.0,3.68
2020-02,02XXXX,42662287.0,5.91,6.0,3.68
2020-02,03XXXX,679313.0,5.91,6.0,3.68
2020-02,04XXXX,258153697.0,5.91,6.0,3.68
2020-02,05XXXX,3772523.0,5.91,6.0,3.68
2020-02,06XXXX,39025530.0,5.91,6.0,3.68
2020-02,07PROU,35536676.0,5.91,6.0,3.68
2020-02,07XXXX,66937787.0,5.91,6.0,3.68
2020-02,08XXXX,1354077.0,5.91,6.0,3.68
2020-02,09XXXX,4099915.0,5.91,6.0,3.68
2020-02,10XXXX,88320.0,5.91,6.0,3.68
2020-02,12XXXX,2045332.0,5.91,6.0,3.68
2020-02,14XXXX,1709264.0,5.91,6.0,3.68
2020-02,15BN03,897910.0,5.91,6.0,3.68
2020-02,15XXXX,3067.0,5.91,6.0,3.68
2020-02,16XXXX,39146.0,5.91,6.0,3.68
