YEAR_MONTH,TOTAL_SALE,CPI_YOY_PCT,INTEREST_RATE_PCT,GDP_GROWTH_PCT
2020-01,442767969.0,6.43,6.0,3.68
2020-02,508088237.0,5.91,6.0,3.68
2020-03,580613700.0,4.86,5.0,3.68
2020-04,556536388.0,2.93,5.0,0.39
2020-05,571249892.0,2.4,4.5,0.39
2020-06,613415570.0,3.17,4.5,0.39
2020-07,535695101.0,3.39,4.5,2.69
2020-08,592016948.0,3.18,4.5,2.69
2020-09,591969347.0,3.18,4.5,2.69
2020-10,451739260.0,1.99,4.0,4.48
2020-11,558078453.0,1.48,4.0,4.48
2020-12,539742348.0,0.19,4.0,4.48
2021-01,480662721.0,0.06,4.0,4.72
2021-02,401886408.0,1.52,4.0,4.72
2021-03,521450847.0,1.31,4.0,4.72
2021-04,554165255.0,2.7,4.0,6.61
2021-05,587419252.0,2.9,4.0,6.61
2021-06,618625570.0,2.41,4.0,6.61
2021-07,574610430.0,2.62,4.0,-6.17
2021-08,609283333.0,2.82,4.0,-6.17
2021-09,586746607.0,1.88,4.0,-6.17
2021-10,525144586.0,1.67,4.0,5.22
2021-11,534226569.0,1.84,4.0,5.22
2021-12,546256321.0,1.81,4.0,5.22
2022-01,493337081.0,1.94,4.0,5.05
2022-02,373854265.0,1.42,4.0,5.05
2022-03,538212176.0,2.41,4.0,5.05
2022-04,504148411.0,2.64,4.0,7.83
2022-05,448105450.0,2.86,4.0,7.83
2022-06,604018967.0,3.18,4.0,7.83
2022-07,563222204.0,3.14,4.0,13.71
2022-08,538282515.0,2.89,4.0,13.71
2022-09,526098288.0,3.94,5.0,13.71
2022-10,496067460.0,4.32,6.0,5.92
2022-11,471125462.0,4.37,6.0,5.92
2022-12,524185015.0,4.55,6.0,5.92
2023-01,321807300.0,4.89,6.0,3.28
2023-02,478486898.0,4.31,6.0,3.28
2023-03,529961358.0,3.35,5.5,3.28
2023-04,454026400.0,2.81,5.5,4.05
2023-05,511418112.0,2.43,4.5,4.05
2023-06,545085735.0,2.0,4.5,4.05
2023-07,473410334.0,2.06,4.5,5.33
2023-08,552163886.0,2.96,4.5,5.33
2023-09,491082871.0,3.66,4.5,5.33
2023-10,506265978.0,3.59,4.5,6.72
2023-11,458838816.0,3.45,4.5,6.72
2023-12,512017554.0,3.58,4.5,6.72
2024-01,427767144.0,3.37,4.5,5.66
2024-02,395891648.0,3.98,4.5,5.66
2024-03,470575581.0,3.97,4.5,5.66
2024-04,480968452.0,4.4,4.5,6.93
2024-05,517894794.0,4.44,4.5,6.93
2024-06,523429011.0,4.34,4.5,6.93
2024-07,478756227.0,4.36,4.5,7.4
2024-08,559439697.0,3.45,4.5,7.4
2024-09,433436216.0,2.63,4.5,7.4
2024-10,481568324.0,2.89,4.5,7.55
2024-11,451583492.0,2.77,4.5,7.55
2024-12,430782190.0,3.48,4.5,7.55
2025-01,359762001.0,2.53,4.5,6.93
2025-02,317369752.0,3.35,4.5,6.93
2025-03,391303605.0,3.13,4.5,6.93
2025-04,482205790.0,3.2,4.5,7.26
2025-05,513127805.0,3.18,4.5,7.26
2025-06,486600112.0,3.15,4.5,7.26
2025-07,430668875.0,3.1,4.5,7.9
2025-08,463468495.0,3.05,4.5,7.9
2025-09,451343293.0,3.0,4.5,7.9
2025-10,460402075.0,3.25,4.5,8.5
2025-11,374030042.0,3.28,4.5,8.5
2025-12,523378225.0,3.31,4.5,8.5
